metric,linear_mean,robust_mean,robust_to_linear_mean_ratio,mean_paired_difference_robust_minus_linear,q_0.025_paired_difference,q_0.975_paired_difference,fraction_robust_greater_than_linear
literal_residual_rmse,0.19694778407200567,0.2034906268849485,1.033221205528013,0.006542842812942822,0.003068666730255097,0.011005161661499568,1.0
perturbation_rmse,0.19395951295109484,0.20077767426891682,1.0351524976222286,0.006818161317822044,0.0033177033994273492,0.01118491981921024,1.0
perturbation_energy,0.03799842002340929,0.040762948084119295,1.072753763419818,0.0027645280607100043,0.0011045772217013116,0.005258030003974005,1.0
perturbation_max_abs,1.3870691877442238,1.5504562063353244,1.1177929839655765,0.16338701859110052,0.06656402288403847,0.31057124905416,0.9975
