method,index,t,mean,sd,skewness,excess_kurtosis,q_0.005,q_0.025,median,q_0.975,q_0.995,standardized_tail_prob_abs_gt_2.5,standardized_tail_prob_abs_gt_3,ks_distance_to_normal
linear,128,0.25048923679060664,-0.001010085656004906,0.20000855677324603,-0.6942842007763689,13.802939360481346,-0.6200448642821217,-0.3790837224518405,0.0025043209706493777,0.4235735702930051,0.6657059505815911,0.0375,0.02,0.12205685505217856
linear,256,0.5009784735812133,0.020965957615008676,0.20144979215993059,0.4938250827509272,14.50082373883216,-0.7138427127524138,-0.35298554702457946,0.012041154317036284,0.4158579814988912,0.7682411435899416,0.03,0.0225,0.13809982171102297
linear,384,0.7514677103718199,-0.00304249952714284,0.18797467753567518,-0.6000722508068594,9.545157936682442,-0.8914601629592241,-0.3227411934212063,-0.001863608928596279,0.30758658222848245,0.7685347899952003,0.035,0.0275,0.13232375715674094
robust,128,0.25048923679060664,0.0007644572182798315,0.2078615146856962,-0.9181446065647932,18.732250418107597,-0.671914100601529,-0.39269152034030547,-0.002673437520705665,0.4529406082418622,0.716563734558716,0.0375,0.0225,0.15460726627894983
robust,256,0.5009784735812133,0.019952500522197627,0.20976087081537048,0.601474454346039,18.899376030302836,-0.7874648880697241,-0.35474422150371,0.008783994705959607,0.4135764316976434,0.886314579603977,0.03,0.0225,0.16290656865578224
robust,384,0.7514677103718199,-0.0064644552778404885,0.19236033881198267,-0.8336662785326405,13.140724341964198,-0.9990957358307968,-0.3368663847577187,0.001142683218386252,0.32207350266042467,0.8077482363912648,0.0375,0.025,0.15453791142992077
