method,quantity,mean,sd,skewness,excess_kurtosis,q_0.005,q_0.025,median,q_0.975,q_0.995,standardized_tail_prob_abs_gt_2.5,standardized_tail_prob_abs_gt_3,ks_distance_to_normal
linear,literal final residual,9.351243737687475e-21,0.1978707836385574,-0.1368173366786479,13.531985591280641,-0.7978292969771865,-0.3885186677991509,-0.00016283754621935521,0.39067298518362725,0.8016697681022935,0.0327880859375,0.0223876953125,0.10073038849865618
linear,clean-centered perturbation,4.07931067397671e-20,0.19493183429960662,-0.14353432725124374,14.430102795684462,-0.7971968129002739,-0.38268538857468737,0.0001157308677853415,0.3891372204744096,0.7993494999074177,0.0334326171875,0.0230517578125,0.10708020295187748
robust,literal final residual,-3.8022340023989396e-05,0.20456177767566616,-0.17201150609322965,18.502732961918895,-0.8712080923812621,-0.3956495138535237,-0.00022990443907612915,0.39920952894952494,0.876005600187496,0.0335205078125,0.0240576171875,0.12573520750676834
robust,clean-centered perturbation,-0.00014764477852328346,0.20189830679116325,-0.1794464948844943,19.53093340920014,-0.8685524115285513,-0.3919255874796439,-8.966993635775924e-05,0.39701844215811843,0.8726170545640914,0.03412109375,0.0245458984375,0.13259384662153065
