model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,stage,window_size,rmse
additive,linear,0.4,0.1,1.5,3.75,1,8,45,0.0495738439515
additive,linear,0.4,0.1,1.5,3.75,1,9,31,0.0612320904639
additive,robust,0.4,0.1,1.5,3.75,1,1,501,0.0221245328836
additive,robust,0.4,0.1,1.5,3.75,1,2,355,0.013748684392
additive,robust,0.4,0.1,1.5,3.75,1,3,251,0.014510054678
additive,robust,0.4,0.1,1.5,3.75,1,4,177,0.0173402914731
additive,robust,0.4,0.1,1.5,3.75,1,5,125,0.0216639751091
additive,robust,0.4,0.1,1.5,3.75,1,6,89,0.0240254510399
additive,robust,0.4,0.1,1.5,3.75,1,7,63,0.0273615056445
additive,robust,0.4,0.1,1.5,3.75,1,8,45,0.0331667297176
additive,robust,0.4,0.1,1.5,3.75,1,9,31,0.0406315261868
additive,linear,0.4,0.1,1.5,3.75,2,1,501,0.0415232361627
additive,linear,0.4,0.1,1.5,3.75,2,2,355,0.0179003274496
additive,linear,0.4,0.1,1.5,3.75,2,3,251,0.0218020881699
additive,linear,0.4,0.1,1.5,3.75,2,4,177,0.0248412420678
additive,linear,0.4,0.1,1.5,3.75,2,5,125,0.0270247612614
additive,linear,0.4,0.1,1.5,3.75,2,6,89,0.0301410232973
additive,linear,0.4,0.1,1.5,3.75,2,7,63,0.0331851555508
additive,linear,0.4,0.1,1.5,3.75,2,8,45,0.037146430446
additive,linear,0.4,0.1,1.5,3.75,2,9,31,0.054477542955
additive,robust,0.4,0.1,1.5,3.75,2,1,501,0.0301974719969
additive,robust,0.4,0.1,1.5,3.75,2,2,355,0.0118069781805
additive,robust,0.4,0.1,1.5,3.75,2,3,251,0.0135282902763
additive,robust,0.4,0.1,1.5,3.75,2,4,177,0.0151256789979
additive,robust,0.4,0.1,1.5,3.75,2,5,125,0.0165394373037
additive,robust,0.4,0.1,1.5,3.75,2,6,89,0.0214489519513
additive,robust,0.4,0.1,1.5,3.75,2,7,63,0.02473474631
additive,robust,0.4,0.1,1.5,3.75,2,8,45,0.0259446553086
additive,robust,0.4,0.1,1.5,3.75,2,9,31,0.0356615205718
additive,linear,0.4,0.1,2,5,0,1,501,0.0512827871332
additive,linear,0.4,0.1,2,5,0,2,355,0.0389808934051
additive,linear,0.4,0.1,2,5,0,3,251,0.0402667067357
additive,linear,0.4,0.1,2,5,0,4,177,0.0366182260176
additive,linear,0.4,0.1,2,5,0,5,125,0.0419031097634
additive,linear,0.4,0.1,2,5,0,6,89,0.0478280510089
additive,linear,0.4,0.1,2,5,0,7,63,0.0576982179295
additive,linear,0.4,0.1,2,5,0,8,45,0.0728769235915
additive,linear,0.4,0.1,2,5,0,9,31,0.0908181774993
additive,robust,0.4,0.1,2,5,0,1,501,0.01764896281
additive,robust,0.4,0.1,2,5,0,2,355,0.0163304886221
additive,robust,0.4,0.1,2,5,0,3,251,0.0177597590107
additive,robust,0.4,0.1,2,5,0,4,177,0.0167580894896
additive,robust,0.4,0.1,2,5,0,5,125,0.0231395413095
additive,robust,0.4,0.1,2,5,0,6,89,0.0295578497901
additive,robust,0.4,0.1,2,5,0,7,63,0.0324001763459
additive,robust,0.4,0.1,2,5,0,8,45,0.0362834875904
additive,robust,0.4,0.1,2,5,0,9,31,0.0439876840638
additive,linear,0.4,0.1,2,5,1,1,501,0.0418179158401
additive,linear,0.4,0.1,2,5,1,2,355,0.0339776011208
additive,linear,0.4,0.1,2,5,1,3,251,0.0304345148522
additive,linear,0.4,0.1,2,5,1,4,177,0.0365954205039
additive,linear,0.4,0.1,2,5,1,5,125,0.0487231399149
additive,linear,0.4,0.1,2,5,1,6,89,0.04998587094
additive,linear,0.4,0.1,2,5,1,7,63,0.053166108501
additive,linear,0.4,0.1,2,5,1,8,45,0.0622707366806
additive,linear,0.4,0.1,2,5,1,9,31,0.0774693949179
additive,robust,0.4,0.1,2,5,1,1,501,0.0237650378667
additive,robust,0.4,0.1,2,5,1,2,355,0.014558854707
additive,robust,0.4,0.1,2,5,1,3,251,0.0146594431806
additive,robust,0.4,0.1,2,5,1,4,177,0.0175229132323
additive,robust,0.4,0.1,2,5,1,5,125,0.0222155998446
additive,robust,0.4,0.1,2,5,1,6,89,0.0248411998479
additive,robust,0.4,0.1,2,5,1,7,63,0.0281947682561
additive,robust,0.4,0.1,2,5,1,8,45,0.0341688267241
additive,robust,0.4,0.1,2,5,1,9,31,0.042388522986
