model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,stage,window_size,rmse
masked,linear,0.4,0.1,1.5,3.75,1,8,45,0.0500139359887
masked,linear,0.4,0.1,1.5,3.75,1,9,31,0.0615788069992
masked,robust,0.4,0.1,1.5,3.75,1,1,501,0.0281112588786
masked,robust,0.4,0.1,1.5,3.75,1,2,355,0.0146770866497
masked,robust,0.4,0.1,1.5,3.75,1,3,251,0.014161244477
masked,robust,0.4,0.1,1.5,3.75,1,4,177,0.0177007272804
masked,robust,0.4,0.1,1.5,3.75,1,5,125,0.0221800527238
masked,robust,0.4,0.1,1.5,3.75,1,6,89,0.0238612703892
masked,robust,0.4,0.1,1.5,3.75,1,7,63,0.0278484431476
masked,robust,0.4,0.1,1.5,3.75,1,8,45,0.0340697358777
masked,robust,0.4,0.1,1.5,3.75,1,9,31,0.0416502105037
masked,linear,0.4,0.1,1.5,3.75,2,1,501,0.0261203178761
masked,linear,0.4,0.1,1.5,3.75,2,2,355,0.0184121323303
masked,linear,0.4,0.1,1.5,3.75,2,3,251,0.0230913564381
masked,linear,0.4,0.1,1.5,3.75,2,4,177,0.0247382241745
masked,linear,0.4,0.1,1.5,3.75,2,5,125,0.0274093489052
masked,linear,0.4,0.1,1.5,3.75,2,6,89,0.0318986438739
masked,linear,0.4,0.1,1.5,3.75,2,7,63,0.0351393234817
masked,linear,0.4,0.1,1.5,3.75,2,8,45,0.0373703142841
masked,linear,0.4,0.1,1.5,3.75,2,9,31,0.0537138436928
masked,robust,0.4,0.1,1.5,3.75,2,1,501,0.0192859120934
masked,robust,0.4,0.1,1.5,3.75,2,2,355,0.0128204216609
masked,robust,0.4,0.1,1.5,3.75,2,3,251,0.014300340537
masked,robust,0.4,0.1,1.5,3.75,2,4,177,0.0149393129294
masked,robust,0.4,0.1,1.5,3.75,2,5,125,0.0167522304523
masked,robust,0.4,0.1,1.5,3.75,2,6,89,0.0226088917628
masked,robust,0.4,0.1,1.5,3.75,2,7,63,0.0260047543271
masked,robust,0.4,0.1,1.5,3.75,2,8,45,0.0262885859524
masked,robust,0.4,0.1,1.5,3.75,2,9,31,0.0356180897538
masked,linear,0.4,0.1,2,5,0,1,501,0.0712182571514
masked,linear,0.4,0.1,2,5,0,2,355,0.0412417285657
masked,linear,0.4,0.1,2,5,0,3,251,0.0423203923742
masked,linear,0.4,0.1,2,5,0,4,177,0.0400320938003
masked,linear,0.4,0.1,2,5,0,5,125,0.0443512258149
masked,linear,0.4,0.1,2,5,0,6,89,0.0497785673979
masked,linear,0.4,0.1,2,5,0,7,63,0.0601999733754
masked,linear,0.4,0.1,2,5,0,8,45,0.0750082900846
masked,linear,0.4,0.1,2,5,0,9,31,0.0927383026759
masked,robust,0.4,0.1,2,5,0,1,501,0.0247695554738
masked,robust,0.4,0.1,2,5,0,2,355,0.0177001906403
masked,robust,0.4,0.1,2,5,0,3,251,0.0181928418541
masked,robust,0.4,0.1,2,5,0,4,177,0.0169473233003
masked,robust,0.4,0.1,2,5,0,5,125,0.0223575449475
masked,robust,0.4,0.1,2,5,0,6,89,0.0285849743171
masked,robust,0.4,0.1,2,5,0,7,63,0.0319258198644
masked,robust,0.4,0.1,2,5,0,8,45,0.035827950388
masked,robust,0.4,0.1,2,5,0,9,31,0.0442386220216
masked,linear,0.4,0.1,2,5,1,1,501,0.0456500456616
masked,linear,0.4,0.1,2,5,1,2,355,0.0325979062061
masked,linear,0.4,0.1,2,5,1,3,251,0.0301060594321
masked,linear,0.4,0.1,2,5,1,4,177,0.0360655775031
masked,linear,0.4,0.1,2,5,1,5,125,0.0471624087217
masked,linear,0.4,0.1,2,5,1,6,89,0.04815935429
masked,linear,0.4,0.1,2,5,1,7,63,0.0522238902549
masked,linear,0.4,0.1,2,5,1,8,45,0.0624637387261
masked,linear,0.4,0.1,2,5,1,9,31,0.0774239798605
masked,robust,0.4,0.1,2,5,1,1,501,0.0282181301124
masked,robust,0.4,0.1,2,5,1,2,355,0.0150987834718
masked,robust,0.4,0.1,2,5,1,3,251,0.013978740125
masked,robust,0.4,0.1,2,5,1,4,177,0.0175394543309
masked,robust,0.4,0.1,2,5,1,5,125,0.0226147858939
masked,robust,0.4,0.1,2,5,1,6,89,0.0247958456244
masked,robust,0.4,0.1,2,5,1,7,63,0.0288467631126
masked,robust,0.4,0.1,2,5,1,8,45,0.0349912974993
masked,robust,0.4,0.1,2,5,1,9,31,0.043276174821
masked,linear,0.4,0.1,2,5,2,1,501,0.0334782127326
masked,linear,0.4,0.1,2,5,2,2,355,0.0236520844677
masked,linear,0.4,0.1,2,5,2,3,251,0.029546750433
masked,linear,0.4,0.1,2,5,2,4,177,0.0315098567847
masked,linear,0.4,0.1,2,5,2,5,125,0.034531285169
masked,linear,0.4,0.1,2,5,2,6,89,0.0384820272589
masked,linear,0.4,0.1,2,5,2,7,63,0.0419274889453
masked,linear,0.4,0.1,2,5,2,8,45,0.0464673632855
masked,linear,0.4,0.1,2,5,2,9,31,0.0678905338759
masked,robust,0.4,0.1,2,5,2,1,501,0.0214684283315
masked,robust,0.4,0.1,2,5,2,2,355,0.0132071120267
masked,robust,0.4,0.1,2,5,2,3,251,0.0147651262461
masked,robust,0.4,0.1,2,5,2,4,177,0.0152898278475
masked,robust,0.4,0.1,2,5,2,5,125,0.0169395464343
masked,robust,0.4,0.1,2,5,2,6,89,0.022739442053
masked,robust,0.4,0.1,2,5,2,7,63,0.0261670497891
masked,robust,0.4,0.1,2,5,2,8,45,0.0269965288814
masked,robust,0.4,0.1,2,5,2,9,31,0.0373729608147
masked,linear,0.4,0.1,2.5,6.25,0,1,501,0.0812347771321
masked,linear,0.4,0.1,2.5,6.25,0,2,355,0.0492084816414
