model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,mean_rmse
masked,linear,0.6,0.15,1,1.66666666667,0,0.0455216860166
masked,linear,0.6,0.15,1,1.66666666667,1,0.0385973260215
masked,linear,0.6,0.15,1,1.66666666667,2,0.0353623200666
masked,linear,0.6,0.15,1.5,2.5,0,0.0542725424765
masked,linear,0.6,0.15,1.5,2.5,1,0.0470070942077
masked,linear,0.6,0.15,1.5,2.5,2,0.0432453000418
masked,linear,0.6,0.15,2,3.33333333333,0,0.0642161382548
masked,linear,0.6,0.15,2,3.33333333333,1,0.0569730968235
masked,linear,0.6,0.15,2,3.33333333333,2,0.0524809188943
masked,linear,0.6,0.15,2.5,4.16666666667,0,0.0748902863326
masked,linear,0.6,0.15,2.5,4.16666666667,1,0.0678276238972
masked,linear,0.6,0.15,2.5,4.16666666667,2,0.0624839957574
masked,linear,0.6,0.15,3,5,0,0.0860302825941
masked,linear,0.6,0.15,3,5,1,0.0792144519697
masked,linear,0.6,0.15,3,5,2,0.0729470994255
masked,linear,0.6,0.2,1,1.66666666667,0,0.0500357163835
masked,linear,0.6,0.2,1,1.66666666667,1,0.0474645332405
masked,linear,0.6,0.2,1,1.66666666667,2,0.0405805796247
masked,linear,0.6,0.2,1.5,2.5,0,0.0608199621029
masked,linear,0.6,0.2,1.5,2.5,1,0.0597237655122
masked,linear,0.6,0.2,1.5,2.5,2,0.0516036021745
masked,linear,0.6,0.2,2,3.33333333333,0,0.0729519810348
masked,linear,0.6,0.2,2,3.33333333333,1,0.0733645896918
masked,linear,0.6,0.2,2,3.33333333333,2,0.0641139720277
masked,linear,0.6,0.2,2.5,4.16666666667,0,0.0858694277061
masked,linear,0.6,0.2,2.5,4.16666666667,1,0.0877431096003
masked,linear,0.6,0.2,2.5,4.16666666667,2,0.0773979756312
masked,linear,0.6,0.2,3,5,0,0.0992732439999
masked,linear,0.6,0.2,3,5,1,0.102551063462
masked,linear,0.6,0.2,3,5,2,0.0911198672177
masked,linear,0.6,0.25,1,1.66666666667,0,0.054140820631
masked,linear,0.6,0.25,1,1.66666666667,1,0.0518678690731
masked,linear,0.6,0.25,1,1.66666666667,2,0.0454924490021
masked,linear,0.6,0.25,1.5,2.5,0,0.0661481145378
masked,linear,0.6,0.25,1.5,2.5,1,0.0661236866347
masked,linear,0.6,0.25,1.5,2.5,2,0.0583039119535
masked,linear,0.6,0.25,2,3.33333333333,0,0.0795021912002
masked,linear,0.6,0.25,2,3.33333333333,1,0.0816907755698
masked,linear,0.6,0.25,2,3.33333333333,2,0.072471176528
masked,linear,0.6,0.25,2.5,4.16666666667,0,0.0936621711865
masked,linear,0.6,0.25,2.5,4.16666666667,1,0.0979330855228
masked,linear,0.6,0.25,2.5,4.16666666667,2,0.0873444992249
masked,linear,0.6,0.25,3,5,0,0.108338506609
masked,linear,0.6,0.25,3,5,1,0.114563342493
masked,linear,0.6,0.25,3,5,2,0.102623457447
masked,linear,0.6,0.3,1,1.66666666667,0,0.0590841941506
masked,linear,0.6,0.3,1,1.66666666667,1,0.0558856450384
masked,linear,0.6,0.3,1,1.66666666667,2,0.0512715880133
masked,linear,0.6,0.3,1.5,2.5,0,0.0727357656034
masked,linear,0.6,0.3,1.5,2.5,1,0.0714079450599
masked,linear,0.6,0.3,1.5,2.5,2,0.066503928521
masked,linear,0.6,0.3,2,3.33333333333,0,0.0876909833504
masked,linear,0.6,0.3,2,3.33333333333,1,0.0881610134501
masked,linear,0.6,0.3,2,3.33333333333,2,0.0831825203428
masked,linear,0.6,0.3,2.5,4.16666666667,0,0.103419491015
masked,linear,0.6,0.3,2.5,4.16666666667,1,0.105533703841
masked,linear,0.6,0.3,2.5,4.16666666667,2,0.10059436479
masked,linear,0.6,0.3,3,5,0,0.119643372379
masked,linear,0.6,0.3,3,5,1,0.123261944043
masked,linear,0.6,0.3,3,5,2,0.118418529997
masked,linear,0.8,0.1,1,1.25,0,0.0517606333087
masked,linear,0.8,0.1,1,1.25,1,0.0428385025332
masked,linear,0.8,0.1,1,1.25,2,0.0389317628305
masked,linear,0.8,0.1,1.5,1.875,0,0.0595964280232
masked,linear,0.8,0.1,1.5,1.875,1,0.0490161863137
masked,linear,0.8,0.1,1.5,1.875,2,0.0430494681581
masked,linear,0.8,0.1,2,2.5,0,0.0685947947981
masked,linear,0.8,0.1,2,2.5,1,0.0568085497115
masked,linear,0.8,0.1,2,2.5,2,0.0485481569888
masked,linear,0.8,0.1,2.5,3.125,0,0.0783517932683
masked,linear,0.8,0.1,2.5,3.125,1,0.0656458779437
masked,linear,0.8,0.1,2.5,3.125,2,0.0550122637
masked,linear,0.8,0.1,3,3.75,0,0.088617038823
masked,linear,0.8,0.1,3,3.75,1,0.07515858049
masked,linear,0.8,0.1,3,3.75,2,0.0621474822094
masked,linear,0.8,0.15,1,1.25,0,0.0531673901985
masked,linear,0.8,0.15,1,1.25,1,0.0450555615627
masked,linear,0.8,0.15,1,1.25,2,0.0422464401926
masked,linear,0.8,0.15,1.5,1.875,0,0.0609975649597
masked,linear,0.8,0.15,1.5,1.875,1,0.0522753314074
