t,clean,contaminated,additive_observation,clean_linear_1,additive_linear_1,clean_robust_1,additive_robust_1,masked_observation,masked_linear_1,masked_robust_1
0,-0.29695001075,0,-0.805459319489,0.0122874478748,-0.0568802755782,0.0102319578506,-0.0682038617453,-0.805459319489,-0.0442407343204,-0.0677860389697
0.001001001001,-0.285254953925,1,-5.6015225643,0.0147554011894,-0.0558598412465,0.0127186040501,-0.066727356322,-5.31626761038,-0.0435577860689,-0.0665234149967
0.002002002002,-0.273183292974,0,-1.02373887703,0.0172649737193,-0.0542916563057,0.0152483373474,-0.0650574027799,-1.02373887703,-0.0423567974307,-0.0650697469425
0.003003003003,-0.256948446374,0,-1.20713046123,0.019815169069,-0.0526151081027,0.0178200670639,-0.0632704704728,-1.20713046123,-0.041049776361,-0.0635014528439
0.004004004004,-0.23681068609,1,-1.21769773506,0.0224045891705,-0.0508124816271,0.0204325171509,-0.0613516375254,-0.980887048974,-0.0396190127141,-0.0618035850878
0.00500500500501,-0.213366370796,0,-0.495171604212,0.0250314587106,-0.0488826186954,0.0230837554048,-0.0593002518025,-0.495171604212,-0.0380860819505,-0.0599947449179
0.00600600600601,-0.186229428145,1,-0.0954512892846,0.0276936824481,-0.0468947777077,0.0257718211737,-0.0571846932815,0.0907781388606,-0.0364975088263,-0.0581240239991
0.00700700700701,-0.156658282956,0,0.0681746571903,0.0303888085459,-0.0448871549888,0.0284940799813,-0.0550512595179,0.0681746571903,-0.0349094434983,-0.0562596751888
0.00800800800801,-0.124229672819,0,-1.40938071393,0.0331141502038,-0.042875340871,0.0312478884996,-0.0529190272262,-1.40938071393,-0.0333196743667,-0.0543988786447
0.00900900900901,-0.0928653153117,0,-0.34607512026,0.0358667455684,-0.0407172987743,0.0340301963088,-0.050640763674,-0.34607512026,-0.0315861648516,-0.0523943939903
0.01001001001,-0.0643913787936,0,-0.730143895153,0.0386437340389,-0.0385150001111,0.0368379997183,-0.0483145165668,-0.730143895153,-0.0298108863652,-0.0503442787523
0.011011011011,-0.0425760878693,0,-0.260062440594,0.0414425312518,-0.0362316089852,0.0396687815343,-0.0458984738896,-0.260062440594,-0.0279570030114,-0.0482067212073
0.012012012012,-0.0296729842797,0,0.0239508730464,0.0442611899306,-0.0339121854495,0.0425203840658,-0.0434442959199,0.0239508730464,-0.026069574843,-0.0460333878439
0.013013013013,-0.02577947025,0,0.450729295004,0.0470986143642,-0.0315842842645,0.0453917695761,-0.0409857853529,0.450729295004,-0.0241762268315,-0.0438580299243
0.014014014014,-0.031648338368,0,-0.947638793253,0.0499545679499,-0.0292888945356,0.048282680629,-0.0385719652637,-0.947638793253,-0.0223180986473,-0.0417296648065
0.015015015015,-0.0450298271655,0,-0.813920125272,0.0528297438673,-0.0268913051178,0.0511937628144,-0.0360475361442,-0.813920125272,-0.0203605594991,-0.039493036561
0.016016016016,-0.0631837218211,0,-0.375312736725,0.0557255475499,-0.0244042213861,0.0541266036656,-0.0334247784907,-0.375312736725,-0.018316314762,-0.0371605073421
0.017017017017,-0.0838627451922,0,-0.822984406694,0.0586438324784,-0.0218695328806,0.0570829992534,-0.0307500952292,-0.822984406694,-0.0162272305024,-0.0347784091987
