stage,window_size,radius,previous_to_current_window_ratio,single_pass_exact_rms,recursive_exact_rms,single_scaled_by_a_k_over_2,recursive_scaled_by_a_k_over_2,single_scaled_by_a_k_minus_1_over_2,recursive_scaled_by_a_k_minus_1_over_2,recursive_to_single_sd_ratio,recursive_variance_fraction_of_single,adjacent_only_recursive_rms,full_to_adjacent_sd_ratio,component_dc_gain,single_effective_sample_size,single_rms_times_sqrt_window
1,501,250,nan,0.024000127996330736,0.024000127996330736,0.020181621597744833,0.020181621597744833,0.024000127996330736,0.024000127996330736,1.0,1.0,0.024000127996330733,1.0000000000000002,1.0,277.77481492345385,0.5371955678000048
2,355,177,1.4112676056338027,0.02852326477286577,0.011707254569891273,0.020168993942472756,0.008278279095447316,0.023985111098835384,0.00984458840028424,0.4104458119755072,0.16846576456823342,0.011707254569891273,1.0,0.0,196.66248199683756,0.5374194868280894
3,251,125,1.4143426294820718,0.033941849491276536,0.011806545982536974,0.02018194445568877,0.00702021424301988,0.024000511941294805,0.008348488726642683,0.34784627707371685,0.12099703247404499,0.01396333549737548,0.8455390894787358,-0.0,138.88296383200202,0.5377400262850124
4,177,88,1.4180790960451977,0.040453732563653165,0.01332611296969692,0.02022686628182658,0.006663056484848458,0.024053933296556803,0.007923754179446808,0.3294161533482365,0.10851500208674886,0.016690131486296486,0.7984426594025571,-0.0,97.76936275977756,0.5382019069686471
5,125,62,1.416,0.048197336867657176,0.015465100191404069,0.020264483898394303,0.006502273656245607,0.02409866843382858,0.007732550095702033,0.32087042970587704,0.10295783265963418,0.019873324733369634,0.7781838418529115,-0.0,68.87694857703163,0.5388626078526911
6,89,44,1.404494382022472,0.057217596064559374,0.017978296225908665,0.02022947509022132,0.0063562875877602645,0.024057035710061507,0.0075589424243679895,0.314209219933384,0.09872743389114569,0.023444329346377687,0.7668505232241347,-0.0,48.872073781979566,0.5397897216946893
7,63,31,1.4126984126984128,0.06817901653631067,0.021409872400024996,0.020269742889717203,0.006365193147352526,0.024104922463727512,0.007569532979198187,0.31402436537967016,0.09861130205210458,0.02813072004856882,0.7610851184420445,-0.0,34.42060646022552,0.5411541671641151
8,45,22,1.4,0.08095949670046973,0.02521359073353221,0.02023987417511743,0.006303397683383051,0.024069402375809474,0.0074960453737707945,0.31143462794508603,0.09699152748329416,0.03321532662448659,0.7590950713380781,0.0,24.410933262430202,0.5430928141392608
9,31,15,1.4516129032258065,0.09812359442304695,0.031967588801257656,0.020627944700537384,0.006720357706820586,0.02453089860576173,0.007991897200314412,0.3257890111876009,0.10613847981059474,0.04178442233067234,0.7650599677619925,0.0,16.61778306465054,0.5463290521814275
